HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.comments,Answer.q0,Answer.q1,Answer.q10,Answer.q11,Answer.q12,Answer.q13,Answer.q14,Answer.q15,Answer.q16,Answer.q17,Answer.q18,Answer.q19,Answer.q2,Answer.q20,Answer.q21,Answer.q22,Answer.q23,Answer.q24,Answer.q25,Answer.q26,Answer.q27,Answer.q28,Answer.q29,Answer.q3,Answer.q30,Answer.q31,Answer.q32,Answer.q33,Answer.q34,Answer.q35,Answer.q36,Answer.q37,Answer.q38,Answer.q39,Answer.q4,Answer.q40,Answer.q41,Answer.q42,Answer.q43,Answer.q44,Answer.q45,Answer.q46,Answer.q47,Answer.q48,Answer.q49,Answer.q5,Answer.q50,Answer.q6,Answer.q7,Answer.q8,Answer.q9,Answer.v1,Answer.v2,Answer.v4,Approve,Reject
3DA79LNS59VGKM9TX1Z9VXWHBF1T3V,3M6I6ITMWAVL0QSH3EH7NG0071BDQH,Give design feedback about a website,Visit a website and answer some design questions to provide the designer with some good feedback,"website, opinions, design, evaluation",$0.60 ,Mon Dec 08 06:18:24 GMT 2014,10,BatchId:1759526;,3600,25200,Mon Dec 15 06:18:24 GMT 2014,,,3018Q3ZVOIQ6BCTGTTEQ6A4P119ARK,AAW7K3KWEL2HD,Approved,Mon Dec 08 07:53:41 GMT 2014,Mon Dec 08 08:07:38 GMT 2014,Mon Dec 08 15:07:38 GMT 2014,2014/12/08 15:08:46 +0000,,,837,100% (3/3),100% (3/3),100% (3/3),It is a very attractive website.,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,1,1,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,Disha Verma,16-Oct,HUII,,
3DA79LNS59VGKM9TX1Z9VXWHBF1T3V,3M6I6ITMWAVL0QSH3EH7NG0071BDQH,Give design feedback about a website,Visit a website and answer some design questions to provide the designer with some good feedback,"website, opinions, design, evaluation",$0.60 ,Mon Dec 08 06:18:24 GMT 2014,10,BatchId:1759526;,3600,25200,Mon Dec 15 06:18:24 GMT 2014,,,324G5B4FB380SGBJSDJRCN1CR3507M,A1CB33BUZQHRM9,Approved,Mon Dec 08 10:00:03 GMT 2014,Mon Dec 08 10:13:00 GMT 2014,Mon Dec 08 17:13:00 GMT 2014,2014/12/08 17:13:46 +0000,,,777,100% (2/2),100% (2/2),100% (2/2),I felt that the design of the website looked pleasing to the eyes but navigating the website took some time and was not a fluid experience.,5,5,5,5,1,5,1,1,1,5,1,1,1,1,1,5,5,1,1,5,1,1,1,5,1,1,5,1,5,1,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,1,1,1,1,5,Disha Verma,16-Oct-14,"Harvard India Conference(Delhi, 2015)",,
3DA79LNS59VGKM9TX1Z9VXWHBF1T3V,3M6I6ITMWAVL0QSH3EH7NG0071BDQH,Give design feedback about a website,Visit a website and answer some design questions to provide the designer with some good feedback,"website, opinions, design, evaluation",$0.60 ,Mon Dec 08 06:18:24 GMT 2014,10,BatchId:1759526;,3600,25200,Mon Dec 15 06:18:24 GMT 2014,,,358010RM5ETA0WIQDNBERF4QNSTXV2,A1D0JL4MJ7XSGV,Approved,Mon Dec 08 07:07:11 GMT 2014,Mon Dec 08 07:10:02 GMT 2014,Mon Dec 08 14:10:02 GMT 2014,2014/12/08 14:13:46 +0000,,,171,100% (6/6),100% (6/6),100% (6/6),"I felt like the design of the website was good, however, I had a few issues regarding the registration for the next conference event.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,1,1,1,5,5,1,5,1,5,5,1,1,1,1,1,1,1,5,1,5,5,5,5,disha verma,16-Oct-14,HUII,,
3DA79LNS59VGKM9TX1Z9VXWHBF1T3V,3M6I6ITMWAVL0QSH3EH7NG0071BDQH,Give design feedback about a website,Visit a website and answer some design questions to provide the designer with some good feedback,"website, opinions, design, evaluation",$0.60 ,Mon Dec 08 06:18:24 GMT 2014,10,BatchId:1759526;,3600,25200,Mon Dec 15 06:18:24 GMT 2014,,,3F6HPJW4JD0ME5FYF8VHNRT8HSZ2WB,ABZCA1DW2YSM0,Approved,Mon Dec 08 11:22:52 GMT 2014,Mon Dec 08 12:04:50 GMT 2014,Mon Dec 08 19:04:50 GMT 2014,2014/12/08 19:08:46 +0000,,,2518,100% (1/1),100% (1/1),100% (1/1),,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,1,5,5,5,5,5,5,Disha Verma,16-Oct-14,HUII,,
3DA79LNS59VGKM9TX1Z9VXWHBF1T3V,3M6I6ITMWAVL0QSH3EH7NG0071BDQH,Give design feedback about a website,Visit a website and answer some design questions to provide the designer with some good feedback,"website, opinions, design, evaluation",$0.60 ,Mon Dec 08 06:18:24 GMT 2014,10,BatchId:1759526;,3600,25200,Mon Dec 15 06:18:24 GMT 2014,,,3FE2ERCCZX8A1372QKFJ2AOFP0QPO7,A263CRI673K4QG,Approved,Mon Dec 08 09:54:00 GMT 2014,Mon Dec 08 10:04:20 GMT 2014,Mon Dec 08 17:04:20 GMT 2014,2014/12/08 17:08:47 +0000,,,620,100% (3/3),100% (3/3),100% (3/3),"For indian conference registration, the direct form link could have been provided for  easy access. It took little time to see where the registration page is.",5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,,1,1,1,1,5,,1,1,1,5,1,1,1,1,1,5,1,5,1,1,5,Disha Verma,16-Oct-14,HUII,,
3DA79LNS59VGKM9TX1Z9VXWHBF1T3V,3M6I6ITMWAVL0QSH3EH7NG0071BDQH,Give design feedback about a website,Visit a website and answer some design questions to provide the designer with some good feedback,"website, opinions, design, evaluation",$0.60 ,Mon Dec 08 06:18:24 GMT 2014,10,BatchId:1759526;,3600,25200,Mon Dec 15 06:18:24 GMT 2014,,,3J2UYBXQQLCHOGXE93EZ691GWSJ60R,A27GZN1JOOIAUW,Approved,Mon Dec 08 07:49:29 GMT 2014,Mon Dec 08 08:01:29 GMT 2014,Mon Dec 08 15:01:29 GMT 2014,2014/12/08 15:03:47 +0000,,,720,100% (1/1),100% (1/1),100% (1/1),,5,5,5,1,5,1,5,5,5,5,5,5,1,5,1,5,5,5,1,5,1,1,5,1,1,5,5,1,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,1,Disha Verma,16-Oct-14,HUII,,
3DA79LNS59VGKM9TX1Z9VXWHBF1T3V,3M6I6ITMWAVL0QSH3EH7NG0071BDQH,Give design feedback about a website,Visit a website and answer some design questions to provide the designer with some good feedback,"website, opinions, design, evaluation",$0.60 ,Mon Dec 08 06:18:24 GMT 2014,10,BatchId:1759526;,3600,25200,Mon Dec 15 06:18:24 GMT 2014,,,3STRJBFXOWRP34FU99WA0383UY1KTN,AUBB8KU9XV2R8,Approved,Mon Dec 08 08:27:37 GMT 2014,Mon Dec 08 08:34:36 GMT 2014,Mon Dec 08 15:34:36 GMT 2014,2014/12/08 15:38:47 +0000,,,419,100% (7/7),100% (7/7),100% (4/4),i like the website design and it looks better more design could be added to make the website more attractive. the navigation of the pages was very easy.,1,5,5,1,5,5,5,5,1,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,,1,5,1,5,5,,1,1,5,1,5,5,5,1,1,5,5,5,5,1,1,5,1,1,5,5,Disha Verma,16-Oct-14,Form Name - HUII,,
3DA79LNS59VGKM9TX1Z9VXWHBF1T3V,3M6I6ITMWAVL0QSH3EH7NG0071BDQH,Give design feedback about a website,Visit a website and answer some design questions to provide the designer with some good feedback,"website, opinions, design, evaluation",$0.60 ,Mon Dec 08 06:18:24 GMT 2014,10,BatchId:1759526;,3600,25200,Mon Dec 15 06:18:24 GMT 2014,,,3TY7ZAOG5FKONVI3B780GS6YXN1K08,AUI3R928P63B0,Approved,Mon Dec 08 06:51:39 GMT 2014,Mon Dec 08 07:14:14 GMT 2014,Mon Dec 08 14:14:14 GMT 2014,2014/12/08 14:18:46 +0000,,,1355,100% (3/3),100% (3/3),100% (3/3),,1,5,1,1,5,5,5,5,5,5,1,5,5,1,5,5,5,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,1,5,5,5,1,1,5,5,5,5,5,1,5,5,5,5,1,Disha Verma,16-Oct-14,HUII,,
3DA79LNS59VGKM9TX1Z9VXWHBF1T3V,3M6I6ITMWAVL0QSH3EH7NG0071BDQH,Give design feedback about a website,Visit a website and answer some design questions to provide the designer with some good feedback,"website, opinions, design, evaluation",$0.60 ,Mon Dec 08 06:18:24 GMT 2014,10,BatchId:1759526;,3600,25200,Mon Dec 15 06:18:24 GMT 2014,,,3WI0P0II61S49JWSD35SWBCVM45RD2,A2R085B34P2LYS,Approved,Mon Dec 08 07:17:16 GMT 2014,Mon Dec 08 07:22:08 GMT 2014,Mon Dec 08 14:22:08 GMT 2014,2014/12/08 14:23:46 +0000,,,292,100% (3/3),100% (3/3),100% (3/3),,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Disha Verma,Public Policy in India with Prof. Rohini Pande,HUII,,
3DA79LNS59VGKM9TX1Z9VXWHBF1T3V,3M6I6ITMWAVL0QSH3EH7NG0071BDQH,Give design feedback about a website,Visit a website and answer some design questions to provide the designer with some good feedback,"website, opinions, design, evaluation",$0.60 ,Mon Dec 08 06:18:24 GMT 2014,10,BatchId:1759526;,3600,25200,Mon Dec 15 06:18:24 GMT 2014,,,3Y4W8Q93LZKW2QD9MNA2X81Y7AHDVG,A242LG6M7MHYYK,Approved,Mon Dec 08 06:20:27 GMT 2014,Mon Dec 08 06:26:10 GMT 2014,Mon Dec 08 13:26:10 GMT 2014,2014/12/08 13:28:46 +0000,,,343,100% (3/3),100% (3/3),100% (3/3),,5,5,5,1,5,5,1,1,1,5,5,5,1,1,5,1,1,1,5,5,5,1,1,1,1,5,5,5,5,1,1,5,5,5,5,1,5,5,1,1,1,5,5,1,1,5,5,1,1,1,5,Disha Verma,India,HUII,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,5,3.8,3.4,4.2,4.2,3.8,3.8,3.4,4.6,3.4,3.8,3.4,3.4,3.8,3.8,4.2,2.2,3.8,4.6,3.8,3.4,3.4,3.8,1.444444444,3.8,4.6,3,3.8,3.222222222,3.222222222,3.8,3.8,3.8,3.8,3.666666667,4.2,4.6,1.4,2.6,3.4,4.2,3.8,3.8,3,3.8,3.8,3.8,3.4,3.8,4.2,,,,,
